ID (KHÔNG DỊCH),ENGLISH,VIETNAMESE
LoadingPlayersData,Loading Player's Data...,Đang tải dữ liệu người chơi...
ClearData,Clear Data,Xóa dữ liệu
NormalLogin,Normal Login,Đăng nhập 
DailyMission,Daily Mission,Nhiệm vụ mỗi ngày
Achievement,Achievement,Thành tích cá nhân
Setting,Setting,Cài đặt
Home,Home,Trang chủ
AttackNeighbor,Attack Neighbor,Tấn công hàng xóm
GalaxyWar,Galaxy War,Thiên hà đại chiến
BlackHole,Black Hole,Hố đen 
MeteorBelt,Meteor Belt,Vành Đai Thiên Thạch
Stop,Stop,Dừng
Battle,Battle,Tấn Công
DailyMission,Daily Mission,Nhiệm vụ mỗi ngày
Rank,Rank,Xếp hạng
ExploreUniverse,Explore ,Thám hiểm
ManagerPlanet,Manager Planet,Quản lý hành tinh
Neighbor,Neighbor,Thiên hà lân cận
Friend,Friend,Bạn bè
Rank,Rank,Xếp hạng
Attack,Attack,Tấn công
AddFriend,Add Friend,Kết bạn
LoginDaily,Login Daily,Đăng nhập hằng ngày
NewBattle,New Battle!!!,Chiến trận mới 
SunPlanet,SunPlanet,Lõi mặt trời
Loading,Loading...,Đang tải dữ liệu...
Yoursolarsystemhavebeenattackedby,Your solar system have been attacked by:,Hệ mặt trời của bạn đã bị tấn công bởi:
Totalmateriallose,Total material lose:,Tổng vật chất thiệt hại:
BattleResult,Battle Result,Kết quả
DailyLogin,Daily Login,Đăng nhập hằng ngày
GET,GET,NHẬN ĐƯỢC: 
Attacktimes,Attack 5 times,Tấn công 5 lần
UpgradePlanettimes,Upgrade Planet 10 times,Nâng cấp hành tinh 10 lần
Tranformplanet,Tranform 1 planet,Biến đổi 1 hành tinh
Destroyplanet,Destroy 1  planet,Hủy diệt 1 hành tinh
FinishAllMission,Finish All Mission,Hoàn thành tất cả nhiệm vụ
Youfound,You found,Bạn nhận được
Claim,Claim,Nhận được
No,No,Không
Great,Great,Tuyệt Vời
WELCOME,WELCOME,CHÀO MỪNG
Whatisyourstarname,What is your star's name?,Đặt tên cho ngôi sao của bạn !
Sound,Sound,Âm thanh
Music,Music,Nhạc nền
Login,Login,Đăng nhập
DIAMOND,DIAMOND,KIM CƯƠNG
MATERIAL,MATERIAL,VẬT CHẤT
xMaterialinh,x2 Material in 24h,X2 VẬT CHẤT TRONG 24H
JUPITER,JUPITER,SAO MỘC
Detail,Detail,Thông tin 
Upgrade,Upgrade,Nâng cấp
Effect,Effect,Hiệu ứng
BIGGER,BIGGER,TĂNG KÍCH CỠ
FASTER,FASTER,TĂNG VẬN TỐC
HEAVIER,HEAVIER,TĂNG TRỌNG LƯỢNG
EVOLUTE,EVOLUTE!,TIẾN HÓA!
Gravity,Gravity,Trọng lực
Size,Size,Kích thước
HP,HP,HP
Speed,Speed,Tốc độ quay
Material,Material,Vật chất
EARTH,INFORMATION,THÔNG TIN
ChangeAvatar,Change Avatar,Đổi ảnh đại diện
Collect,Collect,Thu thập
Infomation,Infomation.,Thông tin
GRAVITY,GRAVITY,TRỌNG LỰC
AddEffect,Add Effect,Thêm hiệu ứng
Sun,Star,Ngôi sao chủ
UpgrademaxlevelofcurrentPlanet,Upgrade the max level of the current Planet!,Nâng cấp Hành Tinh đến cấp độ tối đa!
Attackplanets,Attack 5 planets,Tấn công 5 hành tinh
Upgrade,Upgrade!,Nâng cấp!
Collect,Collect,Thu thập
Language,Language,Ngôn ngữ
Max,Max,Tối đa
Free,Free,Miễn phí
airtransform,Transform into Air Planet to increase x2 Speed and Dame,Biến đổi thành hành tinh hệ Khí tăng 100% tốc độ bay và 100% thiệt hại va chạm
antimattertransform,Transform into Antimatter Planet absorb and destroy all planet in area effect,Biến đổi thành hành tinh Phản Vật Chất hút và hủy diệt tất cả các hành tinh trong vùng nổ
firetransform,Transform into Fire Planet burn all planet in area effect,Biến đổi thành hành tinh hệ Lửa đốt cháy tất cả các hành tinh trong phạm vi nổ
icetransform,Transform into Ice Planet freezen all phanet in area effect,Biến đổi thành hành tinh hệ Băng đống băng tất cả hành tinh trong vùng nổ
gravitytransform,Transform into Gravity Planet increase double matter on 24h,Biến đổi thành hành tinh Trọng lực tăng lượng vật chất thu nhập tự động lên gấp đôi trong 24h
defaulttransform,There is no effect here,Không có hiệu ứng
Upgrade max levels of your Planet!,Upgrade max levels of your Planet!,Nâng cấp Hành tinh lên tối đa cấp độ!
Upgrade max Size,Upgrade max Size,Nâng cấp tối đa kích thước
Upgrade max Speed,Upgrade max Speed,Nâng cấp tối đa vận tốc
Upgrade max Weight,Upgrade max Weight,Nâng cấp tối đa Trọng lượng
Destroy 10 Planets and 5 Suns,Destroy 10 Planets and 5 Suns,Phá hủy 10 hành tinh và 5 mặt trời
Destroy 10 Planets,Destroy 10 Planets,Phá hủy 10 hành tinh
Destroy 5 Suns,Destroy 5 Suns,Phá hủy 5 mặt trời
Destroy 100 Meteors,Destroy 100 Meteors,Phá hủy 100 thiên thạch
Destroy 25 Special Meteors,Destroy 25 Special Meteors,Phá hủy 25 Thiên thạch Đặc biệt
Destroy 25 Specical Meteors,Destroy 25 Specical Meteors,Phá hủy 25 Thiên thạch Đặc biệt
Destroy 100 Suns,Destroy 100 Suns,Phá hủy 100 Mặt trời
Destroy 100 Suns,Destroy 100 Suns,Phá hủy 100 Mặt trời
Collect 10 Antimatters,Collect 10 Antimatters,Thu thập 10 Phản vật chất
Collect 10 Antimatters,Collect 10 Antimatters,Thu thập 10 Phản vật chất
Destroy 5000 Meteors,Destroy 5000 Meteors,Phá hủy 5000 Thiên thạch
Destroy 5000 Meteors,Destroy 5000 Meteors,Phá hủy 5000 Thiên thạch
Hit multi-color Meteors 50 times,Hit multi-color Meteors 50 times,Bắn thiên thạch nhiều màu 50 lần 
Hit multi-color Meteors 50 times,Hit multi-color Meteors 50 times,Bắn thiên thạch nhiều màu 50 lần 
Destroy 1000 Planets and 100 Suns,Destroy 1000 Planets and 100 Suns,Phá hủy 1000 hành tinh và 100 mặt trời
Destroy 1000 Planets,Destroy 1000 Planets,Phá hủy 1000 hành tinh 
Destroy 50 Suns,Destroy 50 Suns,Phá hủy 50 mặt trời
You reached Max Level,You reached Max Level,Đã nâng cấp đến cấp độ tối đa
You need to UPGRADE level of the Sun before,You need to UPGRADE the level of the Sun before!,Bạn phải nâng cấp level Mặt trời trước! 
You are not enough of Fire Material!,You are not enough of Fire Material!,Bạn không đủ Vật chất Lửa
You are not enough of Ice Material!,You are not enough of Ice Material!,Bạn không đủ Vật chất băng
You are not enough of Gravity Material!,You are not enough of Gravity Material!,Bạn không đủ vật chất Trọng lực 
You are not enough of Air Material!,You are not enough of Air Material!,Bạn không đủ Vật chất Gió
You are not enough of Antimatter Material!,You are not enough of Antimatter Material!,Bạn không đủ Phản vật chất
Register successfully!,Register successfully!,Đăng kí thành công
Register,Register,Đăng kí
Register Fail!,Register Fail!,Đăng kí thất bại
Try Again,Try Again,Thử lại
Error,Error,Lỗi 
"Data corrupted, create a new one",Data corrupted. Create a new one,Dữ liệu của bạn bị mất. Vui lòng tạo mới
Error when loading data,Error when loading data,Lỗi tải dữ liệu
End in,End in,Kết thúc trong
MISSING INTERNET,MISSING INTERNET,MẤT KẾT NỐI INTERNET
"To have Rewarded Video, Please make sure you have Internet Connection :(",To have Rewarded Video. Please make sure you have Internet Connection :(,Để nhận thưởng. Vui lòng kiểm tra kết nối Internet
NO VIDEOS,NO VIDEOS,KHÔNG CÓ VIDEO
"There are no videos right now, please try later :(",There are no videos right now. Please try later :(,Hiện tại không có videos. Vui lòng thử lại sau
Friend,Friend,Bạn bè
is already in your friend list,is already in your friend list,đã có tên trong danh sách bạn bè
is added to your friend list,This player has been added to your friend list,đã được thêm vào danh sách bạn bè
Something wrong happened,Something wrong happened,No
No Planet,No Planet,Không có hành tinh
"All your planets are destroyed, please wait until they recover!",All your planets are destroyed. Please wait until they recover!,Tất cả hành tinh của bạn đã bị phá hủy. Vui lòng đợi phục hồi
Loading battle's information...,Loading battle's information...,Đang tải dữ liệu trận chiến 
Loading friend list...,Loading friend list...,Đang tải danh sách bạn bè
Loading player's data...,Loading player's data...,Đang tải dữ liệu người chơi...
Use a single planet to break the solar system once,Use a single planet to break the solar system once,Sử dụng duy nhất 1 hành tinh để bắn phá hệ mặt trời (1 lần)
Using a single planet to burst the solar system # times,Using a single planet to burst the solar system # times,Sử dụng duy nhất 1 hành tinh để bắn phá hệ mặt trời (# lần)
Promote the sun # times,Promote the sun # times,Thăng tiến cấp độ mặt trời # lần
Attack other players # times,Attack other players # times,Tấn công người chơi khác # lần
Upgrade the planet # times,Upgrade the planet # times,Nâng cấp hành tinh # lần
Attacked but not destroyed # time,Attacked but not destroyed # time,Tấn công nhưng ko hủy diệt thành công # lần
Watch Video  Reward  # times,Watch Video  Reward  # times,Xem video thưởng # lần
Destroy Planet # time,Destroy Planet # time,Hủy diệt hành tinh # lần
Transform Planet # Time,Transform Planet # Time,Biến đổi hành tinh # lần
Income of natural elements # time,Income of natural elements # time,Nhận nguyên tố # lần
Claim Daily Quest # Times,Claim Daily Quest # Times,Nhận Nhiệm vụ hằng ngày # lần
This planet already has a effect!,This planet already has a effect!,Hành tinh này đã có hiệu ứng
You can't add the Default effect!,You can't add the Default effect!,Bạn không thể thêm hiệu ứng mặc định
Coming soon...,Coming soon...,Tính năng sẽ có trong thời gian tới...
TUTORIAL,TUTORIAL,HƯỚNG DẪN CHƠI
tut1,Click on the planet. Then Drag towards the target,Nhấp vào hành tinh. Sau đó kéo và nhắm mục tiêu chỉ định
tut2,Click button Attack to shoot target,Nhấp vào nút Tấn công để bắn
Restore Planet,Restore Planet,Hồi phục hành tinh
Watch Ad to claim,Watch Ad to claim,Mời xem quảng cáo để nhận thưởng
Special Reward,Special Reward,Phần thưởng đặc biệt
Watch,Watch,Xem
Reward,Reward,Thưởng 
You have received,You have received,Bạn nhận được
Claim,Claim,Nhận
Yes,Yes,Vâng
Download Data Failed,Download Data Failed,Tải dữ liệu lỗi!
Shop,Shop,Cửa Hàng
Manager,Manager,Quản Lý 
Event,Event,Sự Kiện
AutoRecoverPlanetIn1h,Auto Recover Planet In 2h,Hành tinh tự động phục hồi ngay lập tức trong 2h
You must complete upgrade star quest to continue,You must complete upgrade star quest to continue,Bạn cần hoàn thành nhiệm vụ nâng cấp ngôi sao
tut_start_create_sun,A NEW STAR BORN,MỘT NGÔI SAO MỚI VỪA SINH RA
tut_start_create_planet,A Planet Was Born,Oh 1 hành tinh mới
Level,Level,Cấp độ
Meteor_Chart,Destroy Meteor rank,Bảng xếp hạng phá huỷ thiên thạch
Planet_Chart,Destroy Planet rank,Bảng xếp hạng phá huỷ hành tinh
Star_Chart,Destroy Star rank,Bảng xếp hạng phá huỷ ngôi sao
Congratulations,Congratulations,Chúc Mừng
tut_meteor_popup_content,You found,Bạn nhận được
tut_focus_auto_upgrade,Tap here to upgrade a planet,Chạm vào đây để nâng cấp hành tinh
tut_focus_fire_effect_button,Tap here to add fire effect,Chạm vào đây để thêm hiệu ứng lửa
tut_back_to_gameplay,Star level up. You have two planets,Tăng cấp độ ngôi sao bạn sẽ có 2 hành tinh
tut_focus_restore,Use diamond to skip time planet restore,Sử dụng kim cương để bỏ qua thời gian hồi hành tinh
tut_focus_upgrade_sun,Complete Star Quest To Upgrade Star,Hoàn thành nhiệm ngôi sao để nâng cấp mặt trời
tut_focus_neighbor,Tap here to attack another user,Chạm vào đây để tấn công người chơi khác
level_up_diamond_popup_content,Level up star prize,Phần thưởng lên cấp độ ngôi sao
PACKAGESHOP,PACKAGE SHOP,Cửa Hàng Đóng Gói
DIAMONDSHOP,DIAMOND SHOP,Cửa Hàng Kim Cương
GravityStone,5 Gravity Effect Stone,5 Đá Hiệu Ứng Trọng Lực
10CorePlanetStone,10 Core Planet Stone,10 Lõi hành tinh
Rank,Rank,Hạng
User,User,Tên
Meteors,Meteors,Thiên Thạch
Planets,Planets,Hành Tinh
Stars,Star,Ngôi Sao
Prize,Prize,Phần Thưởng
chooseavatar,Select Avatar,Chọn Avatar
UPGRADESTARQUEST,STAR UPGRADE QUEST,NHIỆM VỤ NGÔI SAO
DOYOUREALLYWANTTOEXITBATTLE,DO YOU REALLY WANT TO EXIT BATTLE?,BẠN CÓ MUỐN THOÁT TRẬN ?
Back,Back,Trở lại
Refesh,Refesh,Làm mới
ExitBattle,Exit Battle !,Thoát Trận
AutoUpgrade,Level Up,Tăng Cấp
Congratulations!,Congratulations!,Chúc Mừng
Destroy,Destroy,Phá Huỷ
Solars,Stars,ngôi sao
DailyBattle,Daily Battle,Trận Đấu Hàng Ngày
Battle,Attack,Tấn Công
Claimable,Claimable,Nhận Được
Prize,Prize,Phần Thưởng
Times,Times,Số Lần
RestoreTime,Restore Time,Thời gian chờ 
Server is currently maintenance,Server is currently maintenance,Server đang bảo trì
Information,Information,Thông báo
Mail,Mail,Hộp thư
not_enough_materials,You are not enough materials!,Bạn không đủ vật chất!
Seem like you're already logged in!,Seem like you're already logged in!,Có vẻ bạn đã đăng nhập rồi
Success,Success,Thành công
Data saved to your facebook account,Data saved to your facebook account,Data được lưu vào account của bạn
There is another data with this acount \nName: {0} \nLevel: {1} \nDo you want to overwrite it?,There is another data with this acount \nName: {0} \nLevel: {1} \nDo you want to overwrite it?,Đã có data kết nối với account này\nTên: {0} \nLevel: {1} \nBạn có muốn ghi đè hay không?
Data existed,Data existed,Data đã tồn tại
Overwrite,Overwrite,Ghi đè
Keep,Keep,Giữ
Overwrited your data in facebook account by this data,Overwrited your data in facebook account by this data,Đã ghi đè data kết nối với Facebook bằng data hiện tại
Loaded data,Loaded data,Đã load dữ liệu
Loaded data from your facebook account,Loaded data from your facebook account,Đã load dữ liệu từ Facebook account
Mail archived,Archived,Đã đọc
Read,Read,Đọc
Save Your Data!,Save Your Data!,Phần thưởng của bạn đã được lưu
Login Facebook to SAVE your Data?,Login Facebook to SAVE your Data?,Bạn có muốn đăng nhập Fb để tránh mất dữ liệu ?
Your reward,Your reward,Phần thưởng
You activated auto restore for 2 hour.,You activated auto restore for 2 hour.,Bạn đã kích hoạt tự động hồi phục hành tinh trong 2 giờ
Item Purchased!!!,Item Purchased!!!,Item Purchased!!!
STONESHOP,Gemstone Shop,Cửa Hàng Đá Quý
10RandomBlackHoleStone,10 Random Black Hole Stone,10 Đá Hố Đen Ngẫu Nhiên
10RandomEffectStone ,10 Random Elemental Stone ,10 Đá Nguyên Tố Ngẫu Nhiên
CreativePlanet,Creative Planet,Sáng Tạo Hành Tinh
10randomskinplanet,10 Random Skin Planet,10 Hành tinh Ngẫu Nhiên
30DiamondFree,50 Diamond Free,50 Kim Cương Miễn Phí
AutoRecoverPlanetIn5m,Auto Recover Planet In 5 Minute,Tự Động Phục Hồi Hành Tinh Trong 5 phút
Damage,Damage,Sát Thương
Watch Video ADS,Watch Video ADS,Xem Video
Free,Free,Miễn Phí
ManagerPlanet,Manager Planet,Quản Lý Hành Tinh
ManagerSkinPlanet,Manager Skin Planet,Quản Lý Skin Hành Tinh
Search,Search,Tìm kiếm
Search not found,Search not found,Không tìm thấy người chơi
Auto shot is out of turn,Auto shot is out of turn,Đã hết lượt tự động bắn
gift letter,"Sorry to all of you for the bad game experience in previous versions.\n- Universe Master game development team is only a small group of 5 people, we are facing a lot of financial, time and technical difficulties to bring you the best product.\n- We have a lot of new ideas and features that we want to include in the game like War of the Galaxy, Ranking System and Season, Interaction with the Solar System, Adding Planets, Enhancing the Sun Image , Many interesting cosmic phenomena, etc .. To do this, we desperately need your help.\n- If you would like to support and help us please leave a review, post a bug on our Facebook group, recommend to your friends to play with or support by viewing ads or buying in-app.\nAnyway, thank you to all of you who love and support this game, we would like to send 500 diamonds and 50 black hole stones as a thank you.","Xin lỗi tất cả các bạn vì trải nghiệm game không tốt trong các phiên bản trước.\n- Đội ngũ phát triển game Universe Master chỉ là một nhóm nhỏ 5 người, hiện chúng tôi đang gặp rất nhiều khó khăn về tài chính, thời gian, kỹ thuật để mang đến cho bạn một sản phẩm tốt nhất.\n- Chúng tôi có rất nhiều ý tưởng và tính năng mới muốn đưa vào trò chơi như Chiến tranh giữa các thiên hà, Hệ thống xếp hạng và mùa giải, Tương tác với Hệ mặt trời, Thêm hành tinh, Tăng cường hình ảnh mặt trời, Nhiều hiện tượng vũ trụ thú vị, v.v... Để làm được điều này , chúng tôi rất cần sự giúp đỡ của bạn.\n- Nếu các bạn muốn ủng hộ và giúp đỡ chúng tôi vui lòng để lại đánh giá, đăng lỗi lên nhóm Facebook của chúng tôi, giới thiệu cho bạn bè cùng chơi hoặc ủng hộ bằng cách xem quảng cáo hoặc mua trong ứng dụng.\nDù sao cũng xin cảm ơn tất cả các bạn đã yêu thích và ủng hộ trò chơi này, chúng tôi xin gửi 500 viên kim cương và 50 viên đá hố đen như một lời cảm ơn."
DevMail,Developer Mail,Thư Của Nhà Phát Triển
RestoreTime,Restore Time,Thời gian chờ 
AlienHuntingEvent,ALIEN HUNTING EVENT,SỰ KIỆN SĂN A MÔNG Ú
TapMeteorBelt,Tap Meteor Belt,Vào Vành Đai Thiên Thạch
BreaktheMeteor,Break the Meteor,Bắn Vỡ Thiên Thạch
ReceiveAliens,Receive Aliens,Nhận A Mong Ú
DroptoBlackHole,Drop to Black Hole,Thả vào Hố Đen
ClaimaPrize,Claim a Prize,Nhận Phần Thưởng
New version,New version,Phiên bản mới
You're using version {0} please update to newest version to access newest features,You're using version {0} please update to newest version to access newest features,Bạn đang sử dụng phiên bản {0} hãy cập nhật lên phiên bản mới nhất để truy cập những tính năng mới nhất
Unlock LV 5,Unlock LV 5,Lv5 Mở Khóa
FacebookGroup,Facebook Group,Nhóm Facebook
ReceiveGift,Receive Gift,Nhận Quà
RateUs,Review Us,Nhận Xét
ChangeSkin,Change Skin,Thay Đổi
Effect,Effect,Hiệu Ứng
Under maintenance,Under maintenance,Đang bảo trì
Total attack has been reset,Total attack has been reset,Tổng tấn công đã được phục hồi
Reset Total Attack,Reset Total Attack,Hồi lại tổng tấn công
Autoshoot Reset,Add 25 Time Auto Shoot,Thêm 25 Lần Tự Động Bắn
Do you want to leave Meter Belt?,Do you want to leave Meteor Belt?,Bạn có muốn thoát vành đai thiên thạch ?
Return,Return,Trở lại
There is another data with this acount \nName: {0} \nLevel: {1} \nWhich one do you want to keep?,There is another data with this acount \nName: {0} \nLevel: {1} \nWhich one do you want to keep?,Đã có 1 data khác với \nTên: {0} \nLevel: {1} \nBạn muốn giữ data nào?
Not logged it,Not logged it,Chưa đăng nhập
Log in,Log in,Đăng nhập
Log out,Log out,Đăng xuất
Logged in as {0},Logged in as {0},Đã đăng nhập với tên {0}
"Data {0} level {1} will be deleted, is it OK?","Data {0} level {1} will be deleted, is it OK?","Data {0} level {1} sẽ bị xóa, bạn có chắc chắn?"
Log out of this facebook account?,Log out of this facebook account?,Đăng xuất khỏi tài khoản facebook?
Log in to facebook account?,Log in to facebook account?,Đăng nhập vào facebook account?
"Something wrong happened, please try again","Something wrong happened, please try again","Đã xảy ra lỗi, vui lòng thử lại"
Delete,Delete,Xóa
Are you sure you want to delete {0}?,Are you sure you want to delete {0}?,Bạn có chắc chắn muốn xóa {0}?
{0} is removed from your friend list,{0} is removed from your friend list,Đã xóa {0} khỏi danh sách bạn bè
End Day,End :,Kết Thúc :
All skin unlocked,You have received all skins of planet as a thank of development team,Bạn đã nhận được toàn bộ skin của hành tinh như một lời cảm ơn của nhà phát triển
Unlock LV {0},Unlock LV {0},LV {0} Mở Khóa
MeteorBelt1,Small Meteors Belt,Vành Đai Thiên Thạch Nhỏ
MeteorBelt2,Super Meteors Belt,Vành Đai Thiên Thạch Thường
MeteorBelt3,Mega Meteors Belt,Siêu Vành Đai Thiên Thạch 
MeteorBelt4,Refresh on 00:00:00,Làm mới lúc 00:00:00
FreeFarm,Free Farm,Không giới hạn
You reach watch ads limit for today,You reach watch ads limit for today,Bạn đã tới giới hạn xem quảng cáo của ngày hôm nay
You planets are restored,You planets are restored,Các hành tinh của bạn đã được phục hồi
Add {0} Time Auto Shoot,Add {0} Time Auto Shoot,Thêm {0} Lần Tự Động Bắn
You activated auto restore for {0} mins.,You activated auto restore for {0} mins.,Bạn đã kích hoạt tự động hồi phục hành tinh trong {0} phút
New reward unlocked!,New reward unlocked!,Mở khóa phần thưởng mới!
Battle Pass vip activated,Battle Pass vip activated,Đã mở khóa vip ở Battle Pass
Battle Pass vip is already activated,Battle Pass vip is already activated,Bạn đã là vip ở Battle Pass
BATTLEOFTITAN,BATTLE OF TITAN,TRẬN ĐẤU GIỮA CÁC VỊ THẦN
CHALLENGER,CHALLENGE,THÁCH ĐẤU
WIN + 1/LOSE -1,WIN + 1/LOSE -1,THẮNG +1/THUA - 1
WIN STREAK,WIN STREAK,LIÊN THẮNG
Buy Battle Pass to unlock x3 Prize,Tap Here To Buy Space Pass And Unlock x3 Prize,Nhấn Vào Đây Để Mua Space Pass Và Mở Khóa Phần Thưởng x3
Last rank battle result {0},Last rank battle result {0},Kết quả rank gần nhất {0}
Point,Point,Điểm
Battle Rank,Daily Rank PVP,Bảng Xếp Hạng PVP Hàng Ngày
Total lost,Total lost,Tổng thiệt hại
Active,Active,Hoạt Động
Received {0} times Auto Shoot,Received {0} times Auto Shoot,Đã nhận được {0} lần tự động bắn
Cosmic Mystery,Cosmic Mystery,Vũ Trụ Huyền Bí
Meteor Fall will come in {0},Meteor Fall will come in {0},Mưa thiên thạch sẽ đến trong {0}
Survive in {0} seconds to win,Survive in {0} seconds,Sống sót trong {0} 
Next,Next,Tiếp Theo
Previous,Previous,Trở Lại
APOCALYPSE MODE,APOCALYPSE MODE,CHẾ ĐỘ NGÀY TẬN THẾ
Text Desciption 1,A meteor crash will appear unexpectedly and surviving the meteor crash will receive rewards,Một vụ rơi sao băng sẽ xuất hiện bất ngờ nếu sống sót sau vụ rơi thiên thạch sẽ nhận được phần thưởng
METEOR FALL REWARD,METEOR FALL REWARD,PHẦN THƯỞNG MƯA SAO BĂNG
Survival in,Survival over ,Sống sót qua 
Received,Received,Đã nhận
Cominginnextweek,Black Hole Mode Coming in Next Week,Chế Độ Hố Đen Sẽ Có Vào Tuần Sau
ONOFF,ON/OFF MODE,Bật/Tắt Chế Độ
Quest,Quest,Nhiệm vụ
Tap manager to custom your planets,Tap manager to custom your planets,Nhấn vào quản lý hành tinh để tùy chỉnh hành tinh của bạn
Tap meteor to collect material,Tap meteor to collect material,Nhấn vào thiên thạch để thu thập vật chất
Click here to claim your reward and level up,Click here to claim your reward and level up,Nhấn vào đây để nhận thưởng và lên level mặt trời
Click here to explore your neighbor solar systems,Click here to explore your neighbor solar systems,Nhấn vào đây để khám phá các hệ mặt trời lân cận
Click here to explore the meteor belt,Click here to explore the meteor belt,Nhấn vào đây để khám phá vành đai tiểu hành tinh
Click here to explore the black hole,Click here to explore the black hole,Nhấn vào đây để khám phá hố đen
Drag the planet and then release to attack the enemy,Drag the planet and then release to attack the enemy,Kéo thả hành tinh để tấn công đối thủ
Click here to fight random enemy,Click here to fight random enemy,Nhấn vào đây để chiến đấu với đối thủ ngẫu nhiên
Hint: Complete quest to level up,Hint: Complete star quest to level up your solar system,Chú ý : Hoàn thành nhiệm vụ ngôi sao để tăng cấp ngôi sao
LoopAutoRecoverPlanetIn1h,Subscription for Automatic Planet Recovery 1h Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 1h Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn6h,Subscription for Automatic Planet Recovery 6h Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 6h Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn12h,Subscription for Automatic Planet Recovery 12h Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 12h Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn1d,Subscription for Automatic Planet Recovery 1 Day Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 1 ngày Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn2d,Subscription for Automatic Planet Recovery 2 Day Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 2 ngày Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn3d,Subscription for Automatic Planet Recovery 3 Day Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 3 ngày Tự động đăng ký lại sau 7 ngày
LoopAutoRecoverPlanetIn7d,Subscription for Automatic Planet Recovery 7 Day Auto Renew after 7 day,Đăng ký phục hồi hành tinh tự động 7 ngày Tự động đăng ký lại sau 7 ngày